SectionID,Latitude,Longitude,OHEMas
DPH-DURG,21.9895,82.1005,730/9   
DPH-DURG,21.9890,82.1000,730/11  
DPH-DURG,21.9885,82.0996,730/13  
DPH-DURG,21.9880,82.0992,730/15  
DPH-DURG,21.9875,82.0987,730/17  
DPH-DURG,21.9870,82.0983,730/19  
DPH-DURG,21.9865,82.0979,730/21  
DPH-DURG,21.9860,82.0974,730/23  
DPH-DURG,21.9855,82.0971,730/25  
DPH-DURG,21.9850,82.0966,730/27  
DPH-DURG,21.9845,82.0962,731/1   
DPH-DURG,21.9840,82.0958,731/3   
DPH-DURG,21.9835,82.0953,731/5   
DPH-DURG,21.9905,82.1013,730/5   
DPH-DURG,21.9900,82.1009,730/7   
DPH-DURG,21.9895,82.1005,730/9   
DPH-DURG,21.9890,82.1001,730/11  
DPH-DURG,21.9885,82.0996,730/13  
DPH-DURG,21.9880,82.0992,730/15  
DPH-DURG,21.9875,82.0987,730/17  
DPH-DURG,21.9870,82.0983,730/19  
DPH-DURG,21.9864,82.0979,730/21  
DPH-DURG,21.9859,82.0975,730/23  
DPH-DURG,21.9855,82.0971,730/25  
DPH-DURG,21.9850,82.0966,730/27  
DPH-DURG,21.9845,82.0962,731/1   
DPH-DURG,21.9840,82.0958,731/3   
DPH-DURG,21.9834,82.0953,731/5   
DPH-DURG,21.9829,82.0949,731/7   
DPH-DURG,21.9824,82.0945,731/9   
DPH-DURG,21.9819,82.0940,731/11  
DPH-DURG,21.9814,82.0936,731/13  
DPH-DURG,21.9809,82.0932,731/15  
DPH-DURG,21.9804,82.0927,731/17  
DPH-DURG,21.9799,82.0923,731/19  
DPH-DURG,21.9794,82.0919,731/21  
DPH-DURG,21.9788,82.0914,731/23  
DPH-DURG,21.9783,82.0910,732/25  
DPH-DURG,21.9778,82.0906,731/27  
DPH-DURG,21.9773,82.0902,732/1   
DPH-DURG,21.9768,82.0898,732/3   
DPH-DURG,21.9763,82.0893,732/5   
DPH-DURG,21.9758,82.0889,732/7   
DPH-DURG,21.9753,82.0884,732/9   
DPH-DURG,21.9748,82.0880,732/11  
DPH-DURG,21.9747,82.0879,710/C9  
DPH-DURG,21.9743,82.0876,732/13  
DPH-DURG,21.9738,82.0872,732/15  
DPH-DURG,21.9733,82.0868,732/17  
DPH-DURG,21.9728,82.0863,732/19  
DPH-DURG,21.9723,82.0859,732/21  
DPH-DURG,21.9717,82.0855,732/23  
DPH-DURG,21.9713,82.0850,732/25  
DPH-DURG,21.9708,82.0847,732/27  
DPH-DURG,21.9703,82.0843,732/29  
DPH-DURG,21.9700,82.0840,732/31  
DPH-DURG,21.9697,82.0837,732/31A 
DPH-DURG,21.9693,82.0834,733/1A  
DPH-DURG,21.9688,82.0830,733/3A  
DPH-DURG,21.9685,82.0827,733/5A  
DPH-DURG,21.9681,82.0824,733/7A  
DPH-DURG,21.9676,82.0820,733/9A  
DPH-DURG,21.9673,82.0817,733/11A1
DPH-DURG,21.9670,82.0815,733/11A 
DPH-DURG,21.9667,82.0812,733/13A 
DPH-DURG,21.9663,82.0808,733/15A1
DPH-DURG,21.9659,82.0805,733/15A 
DPH-DURG,21.9656,82.0802,733/17A 
DPH-DURG,21.9652,82.0799,733/19A 
DPH-DURG,21.9648,82.0796,733/21A 
DPH-DURG,21.9644,82.0792,733/25A/
DPH-DURG,21.9640,82.0789,733/25A 
DPH-DURG,21.9636,82.0785,733/27A 
DPH-DURG,21.9632,82.0782,734/1   
DPH-DURG,21.9627,82.0778,734/3   
DPH-DURG,21.9622,82.0774,734/5   
DPH-DURG,21.9618,82.0770,734/7   
