SectionID,Latitude,Longitude,Altitude,OHEMas,EngFeature,TRDFeature,PWI,Division,Remark,Satellites,ModifiedDate
DURG-BPTP,23.5457,81.39242833,325,975/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.5248,81.39208,326,975/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.4996,81.39166,323,975/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.4695,81.39115833,325,975/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.4378,81.39063,324,975/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.405,81.39008333,324,975/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.3726,81.38954333,322,975/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.3422,81.38903667,324,975/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.3073,81.388455,321,975/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.2768,81.38794667,325,975/17  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.2431,81.387385,323,975/18  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.2129,81.38688167,321,975/19  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.1795,81.386325,322,976/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.1474,81.38579,322,976/2   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.1167,81.38527833,320,976/3   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.0836,81.38472667,320,976/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.0538,81.38423,319,976/5   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,23.0204,81.38367333,320,976/6   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.9872,81.38312,319,976/7   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.9542,81.38257,320,976/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.9247,81.38207833,320,976/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.8982,81.38163667,320,976/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.8658,81.38109667,321,976/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.8322,81.38053667,322,976/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.7993,81.37998833,318,976/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.7698,81.37949667,321,976/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.7364,81.37894,320,976/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.7063,81.37843833,319,977/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.6765,81.37794167,317,977/2   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.6472,81.37745333,319,977/3   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.6172,81.37695333,316,977/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.5901,81.37650167,317,977/5   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.5625,81.37604167,317,977/6   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.5275,81.37545833,316,977/7   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.4929,81.37488167,315,977/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.4564,81.37427333,316,977/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.4238,81.37373,316,977/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.3881,81.373135,316,977/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.3533,81.372555,314,977/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.3189,81.37198167,315,977/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.2852,81.37142,316,977/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.2499,81.37083167,316,977/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.2142,81.37023667,316,977/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.18,81.36966667,317,978/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.1431,81.36905167,313,978/2   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.1092,81.36848667,318,978/3   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.0782,81.36797,315,978/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.0536,81.36756,312,978/5   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.0292,81.36715333,317,978/6   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,22.0047,81.366745,317,978/7   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.9815,81.36635833,318,978/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.9615,81.366025,317,978/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.9419,81.36569833,315,978/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.9222,81.36537,316,978/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.8956,81.36492667,317,978/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.8661,81.364435,315,978/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.8374,81.36395667,315,978/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.8072,81.36345333,315,978/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.779,81.36298333,315,978/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.7489,81.36248167,315,978/17  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.7199,81.36199833,316,979/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.691,81.36151667,317,979/2   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.663,81.36105,318,979/3   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.347,81.35578333,314,979/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.6363,81.360605,317,979/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.6076,81.36012667,315,979/5   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.5788,81.35964667,312,979/6   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.5476,81.35912667,311,979/7   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.5176,81.35862667,313,979/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.4894,81.35815667,315,979/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.4606,81.35767667,313,979/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.4316,81.35719333,317,979/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.4006,81.35667667,315,979/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.3724,81.35620667,313,979/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.3211,81.35535167,317,979/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,21.291,81.35485,316,979/16  ,,,,RAIPUR,,10,10/04/2024
